 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 诺基亚5230	 2013-03-17 192450	 本人第一部智能手机，各种优点在网上可以查到无数条。	 无明显缺陷。	 1、大小合适，有握持感；做工良好，抗摔抗造（本人凳子塌了，此机瞬间飞出，准确命中身后三米外房门，摔成三块，继续使用无问题）。2、此机时至今日功能完好，在家人手中继续服役，本人正常使用一天半一充。3、诺基亚5230之后再无好机，但愿撸妹wp8系列能成为接力棒，能成为使用者的好选择。
 诺基亚5230	 2013-03-08 113900	 1.上手快。2.价格还行。3.经摔我这部都已经可以拆分了，还可以用！3.防水，掉在茅坑拿起来洗一洗，吹一吹，比以前更好用！4.小巧。5.像素不高，但是照出来的图片还是蛮清楚的	 1.不可以耍大游戏！2.导航不怎么给力！3.没有无线功能！4.诺基亚有个通病，就是换电池不快点就要重新设置时间！不过都还好！5.音响大了要破音！	 街机嘛，大家都在用充电器不用愁！我用了3年，感觉还是不错的！如果要耍游戏的骚年，就不要用这款了！
 诺基亚5230	 2013-03-06 014627	 塞班系统软件还算丰富，虽然现在没有安卓资源多 但是还算够用，一般上网浏览网页啊登QQ，聊微信什么的都支持，最主要的是比安卓系统省流量	 1300元买的 这是我第一次用智能手机，和朋友一个朋友去手机市场去买，第一次老板给了我一个黑色的 我用了一天和朋友的5233机子一比，发现还没有5233的像素好。 第二天我就去找老板去换，刚开始老板不给换 最后老板见我执意要换，我就要她给拿了个白色的，我拿到手的时候觉得还不如那个黑色的好 可是我又没觉得有什么明显的缺点，就没好意思再换了，谁知道这个白色的用了没多久两边的音量键和开机键白色塑料就脱落了，又过了不久屏幕就不听使唤了 老是自己跳屏，怎么点都点不准，屏幕图像也变形了……唉，最后才知道花钱买来了翻新机啊 后悔啊！	 机子除了不能玩大型游戏外其它还将就够用。可恶的奸商啊，把我坑惨了！！！
 诺基亚5230	 2013-02-17 155333	 换新手机了，上来点评一下这个跟了我几年的老家伙。买5230有点曲折，当年5800刚上市的时候花大价钱买了个5800限量版，当时算不错的手机，结果没三月发脾气摔坏了，后来凑合了一段时间5000，受不了了于是买了与5800外形相似的5230，结果又弄丢，又买了一个，用到现在。这货的优点是：1、耐摔，几乎每天一摔，楼梯上踢下去也不是一次两次，完全没事；2、防水，掉水里也有过几次，吹干就好了，一点后遗症没有；3、自带的导航好，比汽车导航还准确，令人赞叹；4、便宜，当年的一代街机，最主要还是便宜。	 其实他没有缺点，虽然现在感觉他外形厚、像素低、网速慢。。。。但这是与他上市的时间和价格相匹配的，他只是光荣落伍了而已	 毕竟用了那么久，挺有感情的，只是时代不饶手机，到了更新换代的时候，还是那句话，5230，光荣落伍。
 诺基亚5230	 2013-02-13 140626	 耐摔，耐用，手感还行。童话质量，手机信号诺基亚是妥妥的。别人信号全无的时候，我还是满满的有。外放声音够大。电池耐用。	 无Wifi   摄像头200W   最大声音外放会破音。	 入手5230整整3个年头，还是有8成新。总的来说，经典手机呀！
 诺基亚5230	 2013-02-06 211456	 耐摔	 现在打开相册最起码要等15分钟左右 ，而且用的人太多了，没有WIFI，开3个程序的时候就会自动退掉1，2个，而且不能安装什么很好玩的游戏，太小，太厚，用多了以后也容易卡，	 现在准备换小米2！！！
 诺基亚5230	 2013-01-25 092018	 1、耐摔  2、用很久，CPU都不会很热  3、触感不错	 1、不能接收wifi   2、APPS没有更新   3、机身有点厚   4、屏幕有点小  	 用了2年，感觉上还不错，起码没有拿去整修，只是现在塞班系统不流行而已~~
 诺基亚5230	 2013-01-23 214056	 手机能安装导航。。挺好用的。手机很抗用，摔好几下没事。外观时尚，小巧玲珑的。手机的反应速度比较快。。	 像素200万的不怎么高。屏幕的清晰度不够好。手机有时会死机。8G的内存卡有时开机开不开。得把内存卡拔出来在开机。	 手机还行。得的起这个价钱。。喜欢玩游戏的同志不要买。买安卓的手机好。
 诺基亚5230	 2013-01-19 134915	 母上大人要买手机，给的条件是这样的：大屏，抗摔，经用，能听歌，能插卡，能照相，电池能管两天以上，关键要便宜。于是就5230了，亚马逊500拿下。10年8月的时候室友用的就是这个，但是还是5230满街都是的年代吧，拿过来玩玩那是潮爆了，捏起来结实，趁手。	 论坛看了看，缺点是像素不够，塞班应用少，没有wifi是硬伤。但是在我妈那里完全不是问题……我不在家的时候家里也就没有wifi了，走之前用我的卡给她下载点单机小游戏，实用软件什么的就行了，不开流量都行	 当然是不适合现在的玩机族了，可玩性不高。诺基亚的品质在那里，不管他系统再怎么落后，通话，续航，系统稳定性也都比各种山寨国产机强不知道多少倍。现在行情都不到500了，性价比更无敌高了。虽然自己没有用过诺基亚的手机，但是多少对这个品牌心存敬意。
 诺基亚5230	 2013-01-06 201426	 用了多少手机了，感觉还是诺基亚给力!质量就不用说了，大家都知道！最近换了这款5230！老板人还蛮好的，详细介绍了机子的性能，以及售后！我非常满意！	 <span class="nocon">无填写</span>	 机子满意、老板人好、购物愉快！
